Genre,Count,93416 divded
hotels,16,5838.5
married people,16,5838.5
english humorous stories,16,5838.5
maine,16,5838.5
lost articles,16,5838.5
problem solving,16,5838.5
magicians,16,5838.5
helpfulness,16,5838.5
runaway children,16,5838.5
caldecott medal,16,5838.5
tales,16,5838.5
game shows,16,5838.5
magier,16,5838.5
unicorns,16,5838.5
bibliography,16,5838.5
self-reliance,16,5838.5
journalists,16,5838.5
alex rider (fictitious character),16,5838.5
festivals,16,5838.5
earthquakes,16,5838.5
libraries,16,5838.5
geronimo stilton (fictitious character),16,5838.5
architecture,15,6227.733333
ninja,15,6227.733333
competencias,15,6227.733333
space flight,15,6227.733333
animal welfare,15,6227.733333
washington (state),15,6227.733333
santa claus,15,6227.733333
sources,15,6227.733333
personal beauty,15,6227.733333
newbery honor book,15,6227.733333
age:min:8,15,6227.733333
librarians,15,6227.733333
dance,15,6227.733333
gifts,15,6227.733333
scientists,15,6227.733333
foreign relations,15,6227.733333
rescue work,15,6227.733333
farmers,15,6227.733333
uncles,15,6227.733333
secret service,15,6227.733333
afghanistan,15,6227.733333
rocks,15,6227.733333
william,15,6227.733333
collectionid:eaneschallenge,15,6227.733333
famille,15,6227.733333
collectionid:fsghosts,15,6227.733333
practical jokes,15,6227.733333
fabeltiere,15,6227.733333
engineering,15,6227.733333
sorcières,15,6227.733333
instructional,15,6227.733333
single-parent families,15,6227.733333
reptiles,15,6227.733333
pigeons,15,6227.733333
epic,15,6227.733333
bicycles and bicycling,15,6227.733333
medicine,15,6227.733333
automobiles,15,6227.733333
humorous poetry,15,6227.733333
imaginary wars and battles,15,6227.733333
feral cats,15,6227.733333
genealogy,15,6227.733333
letters,15,6227.733333
anecdotes,15,6227.733333
moose,15,6227.733333
bien y mal,15,6227.733333
ships,15,6227.733333
texts,15,6227.733333
aliens,15,6227.733333
gardening,15,6227.733333
sharing,15,6227.733333
vacations,15,6227.733333
size and shape,15,6227.733333
alienation (social psychology),15,6227.733333
earth sciences,15,6227.733333
social aspects,14,6672.571429
severe poverty,14,6672.571429
stepfamilies,14,6672.571429
frères,14,6672.571429
jungle animals,14,6672.571429
children's humourous stories,14,6672.571429
individualité,14,6672.571429
sleepovers,14,6672.571429
collectionid:caldecotthonor00,14,6672.571429
school & education,14,6672.571429
american authors,14,6672.571429
starvation,14,6672.571429
ecoles,14,6672.571429
military,14,6672.571429
songs,14,6672.571429
deaf,14,6672.571429
canadian literature,14,6672.571429
paris (france),14,6672.571429
mars (planet),14,6672.571429
imaginary voyages,14,6672.571429
dr. seuss,14,6672.571429
pollution,14,6672.571429
fantastische erzahlung,14,6672.571429
effects of war,14,6672.571429
contensts,14,6672.571429
bravery.,14,6672.571429
alchemy,14,6672.571429
large print books,14,6672.571429
decision making,14,6672.571429
grandparent and child,14,6672.571429
internats,14,6672.571429
swans,14,6672.571429
translations into russian,14,6672.571429
chickens,14,6672.571429
nature stories,14,6672.571429
violent,14,6672.571429
émissions televiseés,14,6672.571429
childhood and youth,14,6672.571429
filles,14,6672.571429
missing children,14,6672.571429
paranormal,14,6672.571429
discovery and exploration,14,6672.571429
jeux télévisés romans,14,6672.571429
life risking,14,6672.571429
nyt:series_books=2010-08-21,14,6672.571429
oppression,14,6672.571429
self-sacrifice,14,6672.571429
valentine's day,14,6672.571429
musicians,14,6672.571429
sociology,14,6672.571429
loyalty,14,6672.571429
astronomy,14,6672.571429
foster home care,14,6672.571429
émissions télévisées,14,6672.571429
captain underpants (fictitious character),14,6672.571429
jones,13,7185.846154
flowers,13,7185.846154
school superintendents and principals,13,7185.846154
inuits,13,7185.846154
geographical myths,13,7185.846154
1000blackgirlbooks,13,7185.846154
study guides,13,7185.846154
series:boxcarchildren,13,7185.846154
emigration and immigration,13,7185.846154
study and teaching (secondary),13,7185.846154
baseball stories,13,7185.846154
stanley lambchop (fictitious character),13,7185.846154
boxcar children (fictitious characters),13,7185.846154
women sleuths,13,7185.846154
self-help,13,7185.846154
annie (fictitious character : osborne),13,7185.846154
jack (fictitious character : osborne),13,7185.846154
"""Reference",13,7185.846154
europe,13,7185.846154
student activities,13,7185.846154
study and teaching (kindergarten),13,7185.846154
painters,13,7185.846154
basketball stories,13,7185.846154
philosophie,13,7185.846154
mental illness,13,7185.846154
foxes,13,7185.846154
novelas inglesas,13,7185.846154
