Authors,Genres,Number Of Books
Francesco Sedita,"friendship,household,household moving,maine,moving,popularity,schools",1
David Kirk,"automobiles,insects,shopping,spiders,stories in rhyme",1
Lesla Newman,"ballet,ballet dancing,self-confidence,stage fright",1
Kristyn Dunnion,"kidnapping,rescues",1
J Torres,"amerikanisches englisch,computer crimes,criminal investigation,detective and mystery stories,general,internet,investigation,large type books,missing persons,murder,mystery & detective,new york times bestseller,police,social aspects,suspense,thrillers,women detectives,women sleuths,children: young adult (gr. 7-9),comic books,comics & graphic novels,dating (social customs),graphic novels,high schools,homosexuality,manga,media tie-in,strips,general,romance,south carolina,sports, juvenile literature, hockey, adventure, friendship",4
Mahtab Narsimhan,"culture shock,families,family life,friendship,humorous stories,india,manners and customs,social life and customs,culture shock,families,family life,friendship,humorous stories,india,manners and customs,social life and customs,culture shock,families,family life,friendship,humorous stories,india,manners and customs,social life and customs,culture shock,families,family life,friendship,humorous stories,india,manners and customs,social life and customs,culture shock,families,family life,friendship,humorous stories,india,manners and customs,social life and customs,biography,buddhism,buddhist monks,buddhists,china,dge-lugs-pa (sect),lamaism,lamas,monastic and religious life,tibet autonomous region,biography,buddhism,buddhist monks,buddhists,china,dge-lugs-pa (sect),lamaism,lamas,monastic and religious life,tibet autonomous region,biography,buddhism,buddhist monks,buddhists,china,dge-lugs-pa (sect),lamaism,lamas,monastic and religious life,tibet autonomous region",2
Kenyon Cox,"animals,children's poetry,poetry",1
Gorman Korman,"adventure and adventurers,age:max:11,age:min:8,award:newbery_award,brothers and sisters,children's stories,children: grades 2-3,general,grade:max:7,grade:min:3,history,large type books,lexile_range:701-800,museums,mystery and detective stories,n.y.),new york (n.y.),newbery medal,newbery medal books,runaway children,runaways,self-reliance,siblings,women",1
Clem Martini,"california,college stories,colleges and universities,crime,high schools,large type books,man-woman relationship,man-woman relationships,organized crime,reading level-grade 10,reading level-grade 11,reading level-grade 12,reading level-grade 6,reading level-grade 7,reading level-grade 8,reading level-grade 9,teenagers,universities and colleges,california,college stories,colleges and universities,crime,high schools,large type books,man-woman relationship,man-woman relationships,organized crime,reading level-grade 10,reading level-grade 11,reading level-grade 12,reading level-grade 6,reading level-grade 7,reading level-grade 8,reading level-grade 9,teenagers,universities and colleges,california,college stories,colleges and universities,crime,high schools,large type books,man-woman relationship,man-woman relationships,organized crime,reading level-grade 10,reading level-grade 11,reading level-grade 12,reading level-grade 6,reading level-grade 7,reading level-grade 8,reading level-grade 9,teenagers,universities and colleges,classic literature,early works to 1800,england,fire,fires,general,historia,historical,history,large type books,london,london (england),novela,plague,social conditions",2
Luke Flowers,"readers,fantasy, adventure, juvenile literature, Minecraft",2
Noah Jones,"fairy tales,humorous stories",1
Roslyn Schwartz,"american literature,american literature,juvenile literature, friendship, picture books, sisters",2
Georgia Byng,"& magic,action & adventure - general,family - orphans & foster homes,fantasy,ficción juvenil,hipnotismo,huerfanos,huérfanos,hypnotism,los angeles (calif.),molly (fictitious character),molly (personaje literario),molly moon (fictitious character),moon,novela juvenil,orphans,spanish: grades 2-3,spanish: grades 4-7,etc. pour la jeunesse,ficción juvenil,hipnotismo,historia,history,hypnotism,india,molly (fictitious character),molly (personaje literario),molly moon (fictitious character),moon,nouvelles,romans,time travel,viajes a través del tiempo,voyages dans le temps,& magic,amistad,bank robberies,england,family - orphans & foster homes,fantasy,ficción juvenil,friendship,hipnotismo,huérfanos,hypnotism,molly (fictitious character),molly (personaje literario),molly moon (fictitious character),moon,new york (n.y.),novela juvenil,orphanages,orphans,pug,robbers and outlaws,spanish: grades 2-3,spanish: grades 4-7,& magic,amistad,bank robberies,england,family - orphans & foster homes,fantasy,ficción juvenil,friendship,hipnotismo,huérfanos,hypnotism,molly (fictitious character),molly (personaje literario),molly moon (fictitious character),moon,new york (n.y.),novela juvenil,orphanages,orphans,pug,robbers and outlaws,spanish: grades 2-3,spanish: grades 4-7",3
Make Believe Ideas,"fairies,magic,stories in rhyme,fairies,magic,stories in rhyme",1
Nancy Garden,"families,family,family life,schools",1
Eve Drobot,"commerce,finance,personal,self-improvement,success,success in business",1
Eric Walter,"buried treasure,families,family life,general,grandfathers,grandparents,mystery & detective,mystery and detective stories,treasure hunts,treasure troves,juvenile literature, friendship, adventure and adventurers, childrens stories, inspirational",2
Wallace Edwards,"audiobooks,babies,brothers and sisters,chapter books,classics,escuelas,ficción juvenil,hermanos,humorous stories,infants,jardines de infantes,jones,junie b. (fictitious character),junie b. jones (fictitious character),juvenile literature,kindergarten,monkeys,niños lactantes,reader,school stories,schools,siblings,spanish language materials,audiobooks,babies,brothers and sisters,chapter books,classics,escuelas,ficción juvenil,hermanos,humorous stories,infants,jardines de infantes,jones,junie b. (fictitious character),junie b. jones (fictitious character),juvenile literature,kindergarten,monkeys,niños lactantes,reader,school stories,schools,siblings,spanish language materials,picture books, animals, humor, fantasy,picture books, animals, humor, fantasy,juvenile literature, adventure and adventurers, friendship",3
Marc Gave,"monkeys,play,stories in rhyme",1
Leda Schubert,"actors and actresses,artists,juvenile literature,performing arts",1
Walter Dean Myers,"action & adventure,adaptations,adventure and adventurers,amistad,amitié,animals,camps,cartoons and comics,children's stories,colonies de vacances,comic books,dioses griegos,etc.,etc. pour la jeunesse,etc.n.,fables,fantasy,father-son relationship,fathers and sons,ficción juvenil,friendship,gods,gods and goddesses,graphic novels,greece,greek & roman,greek gods,greek mythology,hades (greek deity),hadès (divinité grecque),identity,identity (philosophical concept),large type books,legends,middle school students,mitología griega,monsters,monstruos,mythical,mythologie grecque,myths,new york times bestseller,nouvelles,novela juvenil,nyt:series_books=2007-07-21,padres e hijos,pictorial works,poseidon (greek deity),poséidon (divinité grecque),pères et fils,quakers,romans,strips,suspense,translations into vietnamese,viajes,voyages and travels,zeus (divinité grecque),zeus (greek deity),action & adventure,adaptations,adventure and adventurers,amistad,amitié,animals,camps,cartoons and comics,children's stories,colonies de vacances,comic books,dioses griegos,etc.,etc. pour la jeunesse,etc.n.,fables,fantasy,father-son relationship,fathers and sons,ficción juvenil,friendship,gods,gods and goddesses,graphic novels,greece,greek & roman,greek gods,greek mythology,hades (greek deity),hadès (divinité grecque),identity,identity (philosophical concept),large type books,legends,middle school students,mitología griega,monsters,monstruos,mythical,mythologie grecque,myths,new york times bestseller,nouvelles,novela juvenil,nyt:series_books=2007-07-21,padres e hijos,pictorial works,poseidon (greek deity),poséidon (divinité grecque),pères et fils,quakers,romans,strips,suspense,translations into vietnamese,viajes,voyages and travels,zeus (divinité grecque),zeus (greek deity),action & adventure,adaptations,adventure and adventurers,amistad,amitié,animals,camps,cartoons and comics,children's stories,colonies de vacances,comic books,dioses griegos,etc.,etc. pour la jeunesse,etc.n.,fables,fantasy,father-son relationship,fathers and sons,ficción juvenil,friendship,gods,gods and goddesses,graphic novels,greece,greek & roman,greek gods,greek mythology,hades (greek deity),hadès (divinité grecque),identity,identity (philosophical concept),large type books,legends,middle school students,mitología griega,monsters,monstruos,mythical,mythologie grecque,myths,new york times bestseller,nouvelles,novela juvenil,nyt:series_books=2007-07-21,padres e hijos,pictorial works,poseidon (greek deity),poséidon (divinité grecque),pères et fils,quakers,romans,strips,suspense,translations into vietnamese,viajes,voyages and travels,zeus (divinité grecque),zeus (greek deity),action & adventure,adaptations,adventure and adventurers,amistad,amitié,animals,camps,cartoons and comics,children's stories,colonies de vacances,comic books,dioses griegos,etc.,etc. pour la jeunesse,etc.n.,fables,fantasy,father-son relationship,fathers and sons,ficción juvenil,friendship,gods,gods and goddesses,graphic novels,greece,greek & roman,greek gods,greek mythology,hades (greek deity),hadès (divinité grecque),identity,identity (philosophical concept),large type books,legends,middle school students,mitología griega,monsters,monstruos,mythical,mythologie grecque,myths,new york times bestseller,nouvelles,novela juvenil,nyt:series_books=2007-07-21,padres e hijos,pictorial works,poseidon (greek deity),poséidon (divinité grecque),pères et fils,quakers,romans,strips,suspense,translations into vietnamese,viajes,voyages and travels,zeus (divinité grecque),zeus (greek deity),action & adventure,adaptations,adventure and adventurers,amistad,amitié,animals,camps,cartoons and comics,children's stories,colonies de vacances,comic books,dioses griegos,etc.,etc. pour la jeunesse,etc.n.,fables,fantasy,father-son relationship,fathers and sons,ficción juvenil,friendship,gods,gods and goddesses,graphic novels,greece,greek & roman,greek gods,greek mythology,hades (greek deity),hadès (divinité grecque),identity,identity (philosophical concept),large type books,legends,middle school students,mitología griega,monsters,monstruos,mythical,mythologie grecque,myths,new york times bestseller,nouvelles,novela juvenil,nyt:series_books=2007-07-21,padres e hijos,pictorial works,poseidon (greek deity),poséidon (divinité grecque),pères et fils,quakers,romans,strips,suspense,translations into vietnamese,viajes,voyages and travels,zeus (divinité grecque),zeus (greek deity),action & adventure,adaptations,adventure and adventurers,amistad,amitié,animals,camps,cartoons and comics,children's stories,colonies de vacances,comic books,dioses griegos,etc.,etc. pour la jeunesse,etc.n.,fables,fantasy,father-son relationship,fathers and sons,ficción juvenil,friendship,gods,gods and goddesses,graphic novels,greece,greek & roman,greek gods,greek mythology,hades (greek deity),hadès (divinité grecque),identity,identity (philosophical concept),large type books,legends,middle school students,mitología griega,monsters,monstruos,mythical,mythologie grecque,myths,new york times bestseller,nouvelles,novela juvenil,nyt:series_books=2007-07-21,padres e hijos,pictorial works,poseidon (greek deity),poséidon (divinité grecque),pères et fils,quakers,romans,strips,suspense,translations into vietnamese,viajes,voyages and travels,zeus (divinité grecque),zeus (greek deity),action & adventure,adaptations,adventure and adventurers,amistad,amitié,animals,camps,cartoons and comics,children's stories,colonies de vacances,comic books,dioses griegos,etc.,etc. pour la jeunesse,etc.n.,fables,fantasy,father-son relationship,fathers and sons,ficción juvenil,friendship,gods,gods and goddesses,graphic novels,greece,greek & roman,greek gods,greek mythology,hades (greek deity),hadès (divinité grecque),identity,identity (philosophical concept),large type books,legends,middle school students,mitología griega,monsters,monstruos,mythical,mythologie grecque,myths,new york times bestseller,nouvelles,novela juvenil,nyt:series_books=2007-07-21,padres e hijos,pictorial works,poseidon (greek deity),poséidon (divinité grecque),pères et fils,quakers,romans,strips,suspense,translations into vietnamese,viajes,voyages and travels,zeus (divinité grecque),zeus (greek deity),action & adventure,adaptations,adventure and adventurers,amistad,amitié,animals,camps,cartoons and comics,children's stories,colonies de vacances,comic books,dioses griegos,etc.,etc. pour la jeunesse,etc.n.,fables,fantasy,father-son relationship,fathers and sons,ficción juvenil,friendship,gods,gods and goddesses,graphic novels,greece,greek & roman,greek gods,greek mythology,hades (greek deity),hadès (divinité grecque),identity,identity (philosophical concept),large type books,legends,middle school students,mitología griega,monsters,monstruos,mythical,mythologie grecque,myths,new york times bestseller,nouvelles,novela juvenil,nyt:series_books=2007-07-21,padres e hijos,pictorial works,poseidon (greek deity),poséidon (divinité grecque),pères et fils,quakers,romans,strips,suspense,translations into vietnamese,viajes,voyages and travels,zeus (divinité grecque),zeus (greek deity),action & adventure,adaptations,adventure and adventurers,amistad,amitié,animals,camps,cartoons and comics,children's stories,colonies de vacances,comic books,dioses griegos,etc.,etc. pour la jeunesse,etc.n.,fables,fantasy,father-son relationship,fathers and sons,ficción juvenil,friendship,gods,gods and goddesses,graphic novels,greece,greek & roman,greek gods,greek mythology,hades (greek deity),hadès (divinité grecque),identity,identity (philosophical concept),large type books,legends,middle school students,mitología griega,monsters,monstruos,mythical,mythologie grecque,myths,new york times bestseller,nouvelles,novela juvenil,nyt:series_books=2007-07-21,padres e hijos,pictorial works,poseidon (greek deity),poséidon (divinité grecque),pères et fils,quakers,romans,strips,suspense,translations into vietnamese,viajes,voyages and travels,zeus (divinité grecque),zeus (greek deity),action & adventure,adaptations,adventure and adventurers,amistad,amitié,animals,camps,cartoons and comics,children's stories,colonies de vacances,comic books,dioses griegos,etc.,etc. pour la jeunesse,etc.n.,fables,fantasy,father-son relationship,fathers and sons,ficción juvenil,friendship,gods,gods and goddesses,graphic novels,greece,greek & roman,greek gods,greek mythology,hades (greek deity),hadès (divinité grecque),identity,identity (philosophical concept),large type books,legends,middle school students,mitología griega,monsters,monstruos,mythical,mythologie grecque,myths,new york times bestseller,nouvelles,novela juvenil,nyt:series_books=2007-07-21,padres e hijos,pictorial works,poseidon (greek deity),poséidon (divinité grecque),pères et fils,quakers,romans,strips,suspense,translations into vietnamese,viajes,voyages and travels,zeus (divinité grecque),zeus (greek deity),action & adventure,adaptations,adventure and adventurers,amistad,amitié,animals,camps,cartoons and comics,children's stories,colonies de vacances,comic books,dioses griegos,etc.,etc. pour la jeunesse,etc.n.,fables,fantasy,father-son relationship,fathers and sons,ficción juvenil,friendship,gods,gods and goddesses,graphic novels,greece,greek & roman,greek gods,greek mythology,hades (greek deity),hadès (divinité grecque),identity,identity (philosophical concept),large type books,legends,middle school students,mitología griega,monsters,monstruos,mythical,mythologie grecque,myths,new york times bestseller,nouvelles,novela juvenil,nyt:series_books=2007-07-21,padres e hijos,pictorial works,poseidon (greek deity),poséidon (divinité grecque),pères et fils,quakers,romans,strips,suspense,translations into vietnamese,viajes,voyages and travels,zeus (divinité grecque),zeus (greek deity),action & adventure,adaptations,adventure and adventurers,amistad,amitié,animals,camps,cartoons and comics,children's stories,colonies de vacances,comic books,dioses griegos,etc.,etc. pour la jeunesse,etc.n.,fables,fantasy,father-son relationship,fathers and sons,ficción juvenil,friendship,gods,gods and goddesses,graphic novels,greece,greek & roman,greek gods,greek mythology,hades (greek deity),hadès (divinité grecque),identity,identity (philosophical concept),large type books,legends,middle school students,mitología griega,monsters,monstruos,mythical,mythologie grecque,myths,new york times bestseller,nouvelles,novela juvenil,nyt:series_books=2007-07-21,padres e hijos,pictorial works,poseidon (greek deity),poséidon (divinité grecque),pères et fils,quakers,romans,strips,suspense,translations into vietnamese,viajes,voyages and travels,zeus (divinité grecque),zeus (greek deity),action & adventure,adaptations,adventure and adventurers,amistad,amitié,animals,camps,cartoons and comics,children's stories,colonies de vacances,comic books,dioses griegos,etc.,etc. pour la jeunesse,etc.n.,fables,fantasy,father-son relationship,fathers and sons,ficción juvenil,friendship,gods,gods and goddesses,graphic novels,greece,greek & roman,greek gods,greek mythology,hades (greek deity),hadès (divinité grecque),identity,identity (philosophical concept),large type books,legends,middle school students,mitología griega,monsters,monstruos,mythical,mythologie grecque,myths,new york times bestseller,nouvelles,novela juvenil,nyt:series_books=2007-07-21,padres e hijos,pictorial works,poseidon (greek deity),poséidon (divinité grecque),pères et fils,quakers,romans,strips,suspense,translations into vietnamese,viajes,voyages and travels,zeus (divinité grecque),zeus (greek deity),action & adventure,adaptations,adventure and adventurers,amistad,amitié,animals,camps,cartoons and comics,children's stories,colonies de vacances,comic books,dioses griegos,etc.,etc. pour la jeunesse,etc.n.,fables,fantasy,father-son relationship,fathers and sons,ficción juvenil,friendship,gods,gods and goddesses,graphic novels,greece,greek & roman,greek gods,greek mythology,hades (greek deity),hadès (divinité grecque),identity,identity (philosophical concept),large type books,legends,middle school students,mitología griega,monsters,monstruos,mythical,mythologie grecque,myths,new york times bestseller,nouvelles,novela juvenil,nyt:series_books=2007-07-21,padres e hijos,pictorial works,poseidon (greek deity),poséidon (divinité grecque),pères et fils,quakers,romans,strips,suspense,translations into vietnamese,viajes,voyages and travels,zeus (divinité grecque),zeus (greek deity),action & adventure,adaptations,adventure and adventurers,amistad,amitié,animals,camps,cartoons and comics,children's stories,colonies de vacances,comic books,dioses griegos,etc.,etc. pour la jeunesse,etc.n.,fables,fantasy,father-son relationship,fathers and sons,ficción juvenil,friendship,gods,gods and goddesses,graphic novels,greece,greek & roman,greek gods,greek mythology,hades (greek deity),hadès (divinité grecque),identity,identity (philosophical concept),large type books,legends,middle school students,mitología griega,monsters,monstruos,mythical,mythologie grecque,myths,new york times bestseller,nouvelles,novela juvenil,nyt:series_books=2007-07-21,padres e hijos,pictorial works,poseidon (greek deity),poséidon (divinité grecque),pères et fils,quakers,romans,strips,suspense,translations into vietnamese,viajes,voyages and travels,zeus (divinité grecque),zeus (greek deity),action & adventure,adaptations,adventure and adventurers,amistad,amitié,animals,camps,cartoons and comics,children's stories,colonies de vacances,comic books,dioses griegos,etc.,etc. pour la jeunesse,etc.n.,fables,fantasy,father-son relationship,fathers and sons,ficción juvenil,friendship,gods,gods and goddesses,graphic novels,greece,greek & roman,greek gods,greek mythology,hades (greek deity),hadès (divinité grecque),identity,identity (philosophical concept),large type books,legends,middle school students,mitología griega,monsters,monstruos,mythical,mythologie grecque,myths,new york times bestseller,nouvelles,novela juvenil,nyt:series_books=2007-07-21,padres e hijos,pictorial works,poseidon (greek deity),poséidon (divinité grecque),pères et fils,quakers,romans,strips,suspense,translations into vietnamese,viajes,voyages and travels,zeus (divinité grecque),zeus (greek deity),action & adventure,adaptations,adventure and adventurers,amistad,amitié,animals,camps,cartoons and comics,children's stories,colonies de vacances,comic books,dioses griegos,etc.,etc. pour la jeunesse,etc.n.,fables,fantasy,father-son relationship,fathers and sons,ficción juvenil,friendship,gods,gods and goddesses,graphic novels,greece,greek & roman,greek gods,greek mythology,hades (greek deity),hadès (divinité grecque),identity,identity (philosophical concept),large type books,legends,middle school students,mitología griega,monsters,monstruos,mythical,mythologie grecque,myths,new york times bestseller,nouvelles,novela juvenil,nyt:series_books=2007-07-21,padres e hijos,pictorial works,poseidon (greek deity),poséidon (divinité grecque),pères et fils,quakers,romans,strips,suspense,translations into vietnamese,viajes,voyages and travels,zeus (divinité grecque),zeus (greek deity),action & adventure,adaptations,adventure and adventurers,amistad,amitié,animals,camps,cartoons and comics,children's stories,colonies de vacances,comic books,dioses griegos,etc.,etc. pour la jeunesse,etc.n.,fables,fantasy,father-son relationship,fathers and sons,ficción juvenil,friendship,gods,gods and goddesses,graphic novels,greece,greek & roman,greek gods,greek mythology,hades (greek deity),hadès (divinité grecque),identity,identity (philosophical concept),large type books,legends,middle school students,mitología griega,monsters,monstruos,mythical,mythologie grecque,myths,new york times bestseller,nouvelles,novela juvenil,nyt:series_books=2007-07-21,padres e hijos,pictorial works,poseidon (greek deity),poséidon (divinité grecque),pères et fils,quakers,romans,strips,suspense,translations into vietnamese,viajes,voyages and travels,zeus (divinité grecque),zeus (greek deity),action & adventure,adaptations,adventure and adventurers,amistad,amitié,animals,camps,cartoons and comics,children's stories,colonies de vacances,comic books,dioses griegos,etc.,etc. pour la jeunesse,etc.n.,fables,fantasy,father-son relationship,fathers and sons,ficción juvenil,friendship,gods,gods and goddesses,graphic novels,greece,greek & roman,greek gods,greek mythology,hades (greek deity),hadès (divinité grecque),identity,identity (philosophical concept),large type books,legends,middle school students,mitología griega,monsters,monstruos,mythical,mythologie grecque,myths,new york times bestseller,nouvelles,novela juvenil,nyt:series_books=2007-07-21,padres e hijos,pictorial works,poseidon (greek deity),poséidon (divinité grecque),pères et fils,quakers,romans,strips,suspense,translations into vietnamese,viajes,voyages and travels,zeus (divinité grecque),zeus (greek deity),action & adventure,adaptations,adventure and adventurers,amistad,amitié,animals,camps,cartoons and comics,children's stories,colonies de vacances,comic books,dioses griegos,etc.,etc. pour la jeunesse,etc.n.,fables,fantasy,father-son relationship,fathers and sons,ficción juvenil,friendship,gods,gods and goddesses,graphic novels,greece,greek & roman,greek gods,greek mythology,hades (greek deity),hadès (divinité grecque),identity,identity (philosophical concept),large type books,legends,middle school students,mitología griega,monsters,monstruos,mythical,mythologie grecque,myths,new york times bestseller,nouvelles,novela juvenil,nyt:series_books=2007-07-21,padres e hijos,pictorial works,poseidon (greek deity),poséidon (divinité grecque),pères et fils,quakers,romans,strips,suspense,translations into vietnamese,viajes,voyages and travels,zeus (divinité grecque),zeus (greek deity),action & adventure,adaptations,adventure and adventurers,amistad,amitié,animals,camps,cartoons and comics,children's stories,colonies de vacances,comic books,dioses griegos,etc.,etc. pour la jeunesse,etc.n.,fables,fantasy,father-son relationship,fathers and sons,ficción juvenil,friendship,gods,gods and goddesses,graphic novels,greece,greek & roman,greek gods,greek mythology,hades (greek deity),hadès (divinité grecque),identity,identity (philosophical concept),large type books,legends,middle school students,mitología griega,monsters,monstruos,mythical,mythologie grecque,myths,new york times bestseller,nouvelles,novela juvenil,nyt:series_books=2007-07-21,padres e hijos,pictorial works,poseidon (greek deity),poséidon (divinité grecque),pères et fils,quakers,romans,strips,suspense,translations into vietnamese,viajes,voyages and travels,zeus (divinité grecque),zeus (greek deity),action & adventure,adaptations,adventure and adventurers,amistad,amitié,animals,camps,cartoons and comics,children's stories,colonies de vacances,comic books,dioses griegos,etc.,etc. pour la jeunesse,etc.n.,fables,fantasy,father-son relationship,fathers and sons,ficción juvenil,friendship,gods,gods and goddesses,graphic novels,greece,greek & roman,greek gods,greek mythology,hades (greek deity),hadès (divinité grecque),identity,identity (philosophical concept),large type books,legends,middle school students,mitología griega,monsters,monstruos,mythical,mythologie grecque,myths,new york times bestseller,nouvelles,novela juvenil,nyt:series_books=2007-07-21,padres e hijos,pictorial works,poseidon (greek deity),poséidon (divinité grecque),pères et fils,quakers,romans,strips,suspense,translations into vietnamese,viajes,voyages and travels,zeus (divinité grecque),zeus (greek deity),action & adventure,adaptations,adventure and adventurers,amistad,amitié,animals,camps,cartoons and comics,children's stories,colonies de vacances,comic books,dioses griegos,etc.,etc. pour la jeunesse,etc.n.,fables,fantasy,father-son relationship,fathers and sons,ficción juvenil,friendship,gods,gods and goddesses,graphic novels,greece,greek & roman,greek gods,greek mythology,hades (greek deity),hadès (divinité grecque),identity,identity (philosophical concept),large type books,legends,middle school students,mitología griega,monsters,monstruos,mythical,mythologie grecque,myths,new york times bestseller,nouvelles,novela juvenil,nyt:series_books=2007-07-21,padres e hijos,pictorial works,poseidon (greek deity),poséidon (divinité grecque),pères et fils,quakers,romans,strips,suspense,translations into vietnamese,viajes,voyages and travels,zeus (divinité grecque),zeus (greek deity),action & adventure,adaptations,adventure and adventurers,amistad,amitié,animals,camps,cartoons and comics,children's stories,colonies de vacances,comic books,dioses griegos,etc.,etc. pour la jeunesse,etc.n.,fables,fantasy,father-son relationship,fathers and sons,ficción juvenil,friendship,gods,gods and goddesses,graphic novels,greece,greek & roman,greek gods,greek mythology,hades (greek deity),hadès (divinité grecque),identity,identity (philosophical concept),large type books,legends,middle school students,mitología griega,monsters,monstruos,mythical,mythologie grecque,myths,new york times bestseller,nouvelles,novela juvenil,nyt:series_books=2007-07-21,padres e hijos,pictorial works,poseidon (greek deity),poséidon (divinité grecque),pères et fils,quakers,romans,strips,suspense,translations into vietnamese,viajes,voyages and travels,zeus (divinité grecque),zeus (greek deity)",1
Jeanne Willis,"bedtime,chapter books,classics,etiquette,fear,humorous stories,jones,junie b. (fictitious character),kindergarten,monsters,reader,school stories,schools,sleepovers,children with disabilities,comportement humain,emotions,etc. pour la jeunesse,general,nouvelles,ouvrages pour la jeunesse,people with disabilities,physically handicapped,pictorial works,play,romans,stories in rhyme",2
Rick Surmacz,"contemporary,dogs,fantasy,new york times reviewed,twenty-first century",1
David Steinberg,"american,american poetry,children's poetry,halloween,horror,humorous poetry,juvenile poetry,poetry,supernatural",1
Dean Morrissey,"fear of the dark,grandfathers,grandparents,monsters,sleepovers,adventure, fantasy, mystery, juvenile literature",2
Danny Schnitzlein,"anxiety,humorous stories,mathematics,monsters,stories in rhyme",1
David Mitchell,"collection:origami,monsters in art,origami,paper folding",1
Mike Austin,"color,crayons,monsters",1
Claire and Cort Freedman,"dinosaurs,monsters,picture books,stories in rhyme,underwear,dinosaurs,monsters,picture books,stories in rhyme,underwear",1
Beverley A Brenna,"fantasy,general,man-woman relationships,shapeshifting,werewolves",1
Jennifer Rustgi,moon,1
Sunny Warner,"cats,old age,quilts",1
Daniel Kirk,"dogs,stories in rhyme,friendship, adventure and adventurers, juvenile literature, childrens stories, friendship,adventure, friendship, juvenile literature, fiction, humor",2
Miriam Schlein,"general,large type books,murder mystery,mystery & detective,new york (n.y.),private investigators,animals, historical, childrens stories, dinosaurs,animals, adventure, juvenile literature, dinosaurs",2
Christine Baldacchino,"clothing and dress,imagination,lgbtq picture books,sex role,stonewall book awards",1
Bernard Wiseman,"animals,humorous stories,moose,picture books,juvenile literature, friendship, schools, picture books",2
Deborah Shand,"mice,mice,mice,mice,mice",1
Isaac Millman,"deaf,first day of school,people with disabilities,schools,sign language",1
Kao Kalia Yang,exhibitions,1
Simon Admas,"atlases,human geography,juvenile literature",1
Ashley Spires,"anger,dogs,frustration,girls,inventions,picture books,american literature,courage,determination (personality trait),fear,juvenile literature,humorous stories, animals, adventure, cats, friendship,comics and graphic novels, animals, humor, adventure,humorous stories, animals, adventure, cats, friendship,comics and graphic novels, animals, humor, adventure,fantasy, juvenile literature, magic, adventure",4
Jack David,recreation,1
Susan E Goodman,"18.06 anglo-american literature,autobiography,biography,christmas decorations,conduct of life,description and travel,existentialism,fathers and sons,general,handicraft,journeys,maintenance and repair,motorcycles,open library staff picks,philosophy,popular culture,psychology,self,travel,united states,values,zen buddhism,juvenile literature,physiology",2
Jenifer Corr Morse,"18.06 anglo-american literature,autobiography,biography,christmas decorations,conduct of life,description and travel,existentialism,fathers and sons,general,handicraft,journeys,maintenance and repair,motorcycles,open library staff picks,philosophy,popular culture,psychology,self,travel,united states,values,zen buddhism,curiosities and wonders,juvenile literature,world records",2
Ellen Stoll Walsh,"bilingual,board books,counting,counting books,ficción juvenil,juvenile literature,mice,picture books for children,ratones,snakes,spanish language materials",1
Judy Waite,"cats,dogs,dwellings,houses,mice,pictorial works,stories in rhyme",1
Bethany Roberts,"bedtime,big books,imagination,mice",1
John Himmelman,"classic literature,whales,animals,martial arts,rabbits",3
Lisi Harrison,"ability,boarding schools,competition (psychology),interpersonal relations,schools",1
Debi Gliori,"babies,bears,behavior,family life,infants,castles,family,family life,large type books,magic,witches",2
ANDREA L MACK,general,1
Andy Stanton,"mr. gum (fictitious character),mr. gum (fictitious character),mr. gum (fictitious character),fairies,mr. gum (fictitious character),supernatural,fairies,mr. gum (fictitious character),supernatural,mr. gum (fictitious character),children's humourous stories,cities and towns,humorous stories,secrets,mr. gum (fictitious character),dogs,fairies,mr. gum (fictitious character),humorous stories, friendship, adventure, childrens stories",8
Richard Atwater,"age:max:9,age:min:6,award:newbery_award,children's stories,grade:max:undefined,grade:min:3 and up,humorous stories,legends,lexile:910,lexile_range:901-1000,new york times bestseller,newbery honor,newbery honor book,nyt:paperback_books=2011-06-11,penguins,penguins -,specimens,toy and movable books,age:max:9,age:min:6,award:newbery_award,children's stories,grade:max:undefined,grade:min:3 and up,humorous stories,legends,lexile:910,lexile_range:901-1000,new york times bestseller,newbery honor,newbery honor book,nyt:paperback_books=2011-06-11,penguins,penguins -,specimens,toy and movable books",1
Aron Nels Steinke,"cartoons and comics,comic books,etc.,first day of school,schools,strips,teachers",1
Won-Ldy Paye,"chickens,crocodiles,folklore,picture books",1
Nadia Shammas,"basic reader,cartoons and comics,comic books,comics & graphic novels,etc,girls,graphic novels,new york times bestseller,pakistani americans,strips,superheroes,teenage girls,teenagers,women superheroes",1
Debbie Gallagher,"dwellings,juvenile literature,juvenile literature,travelers,dwellings,juvenile literature,adventure, underground homes, juvenile literature, exploration, pictorial works,family, adventure, humor, friendship,historical, adventure, castles, friendship, mystery",6
Randy Gordon,"african americans,new york times bestseller",1
Demi,"biography,biography & autobiography,history,islam,literary collections,muslims,new york times reviewed,politics and government,antiquities,biography,civilization,egypt,exhibitions,history,juvenile literature,kings,queens,rulers,fantasy, childrens stories, picture books, adventure",3
Pam Calvert,"arithmetic,characters in literature,division,magic,juvenile literature, friendship, humorous stories, picture books",2
Ken Setterington,"etc. pour la jeunesse,homosexuality,juvenile,livres d'images pour enfants,mariage,mothers,nouvelles,parent and child,picture books for children,romans,weddings",1
Cindy Neuschwander,"geometry,juvenile literature,pyramids,juvenile literature, mathematics, friendship, adventure,juvenile literature, mathematics, friendship, adventure",2
HA Levigne,bullies,1
